name,email,email_type,source_url
Casa Baldomero,hola@casabaldomero.com,role,https://casabaldomero.com/
La Flauta (Grupo La Flauta),comunicacion@globalrambla.es,role,https://www.laflautagroup.com/
Franca,contact@francabarcelona.com,role,https://www.francabarcelona.com/
Mont Bar,info@montbar.com,role,http://www.montbar.com/
Nectari,reserves@nectari.es,role,https://nectari.es/
Bar Mut,reservas@barmut.com,role,https://barmut.com/
Cinc Sentits,info@cincsentits.com,role,https://cincsentits.com/
Windsor,info@restaurantwindsor.com,role,https://restaurantwindsor.com/
Hisop,hisop@hisop.com,role,https://hisop.com/
Boro Bar,info@borobar.es,role,https://borobar.es/
Angle,info@anglebarcelona.com,role,https://anglebarcelona.com/
Aleia,info@aleiarestaurant.com,role,https://aleiarestaurant.com/
Ceviche 103,marketing@grupoceviche.com,role,https://www.ceviche103.com/
Casa Jaime,restaurant.casa.jaime@gmail.com,personal,http://www.casajaime.cat/
Casa Jaime,mandarinoxino@gmail.com,other,http://www.casajaime.cat/
Moments,momay-reservations@mohg.com,other,https://www.mandarinoriental.com/barcelona/passeig-de-gracia/fine-dining/restaurants/catalan-cuisine/moments
Casa Amalia,hola@casaamalia.com,role,https://casaamalia.com/
El Nacional,lopd@elnacionalbcn.com,other,https://elnacionalbcn.com/
